시설물명,주소,교량형식,교량연장,차로수,경간수,최대경간수,,
흥정천교(하),강원도 평창군 봉평면 창동리 ,강박스거더교(STB),260,2,6,45,,
궁촌교(상),강원도 삼척시 근덕면 궁촌리 ,RC슬래브교(RCS),150,2,5,30,,
한치교(상),강원도 삼척시 근덕면 상맹방리 ,PC빔교(PC I),300,2,10,30,,
한치교(하),강원도 삼척시 근덕면 상맹방리 ,PC빔교(PC I),300,2,10,30,,
교가교(상),강원도 삼척시 근덕면 교가리 ,강박스거더교(STB),294,4,6,49,,
흥정천교(상),강원도 평창군 봉평면 창동리 ,강박스거더교(STB),260,2,6,45,,
한계교,강원도 인제군 북면 한계리 ,PC빔교(PC I),120,0,4,30,,
쉴터골천교,강원도 평창군 진부면 하진부리 ,변단면 PSC BEAM교,185.5,2,5,45,,
무이교,강원도 평창군 봉평면 무이리 ,변단면 PSC BEAM교,225.5,2,5,45,,
동막1교(상),강원도 삼척시 근덕면 동막리 ,PC빔교(PC I),240,2,8,30,,
쌍천교,강원도 양양군 강현면 물치리,강판형교(SPG),228,4,6,38,,
RAMP-E교,강원도 강릉시 연곡면 동덕리 ,강박스거더교(STB),269.8,2,6,45,,
문암교(하),강원도 삼척시 근덕면 초곡리 ,강박스거더교(STB),144,2,3,48,,
금강교,강원도 고성군 현내면 명호리,PC빔교(PC I),175,2,5,35,,
명륜교,강원도 고성군 현내면 명호리,PC빔교(PC I),105,2,3,35,,
안호교,강원도 고성군 현내면 명호리,PC빔교(PC I),246,2,7,35.2,,
자산교,강원도 고성군 거진읍 자산리,프리플렉스빔교(PF),108,4,4,27,,
물치교,강원도 양양군 강현면 물치리,RC중공슬래브교(RCH),108,4,6,19,,
명파교(하),강원도 고성군 현내면 명파리 ,PC빔교(PC I),280,2,8,35,,
명파교(상),강원도 고성군 현내면 명파리 ,PC빔교(PC I),280,2,8,35,,
궁촌교(하),강원도 삼척시 근덕면 궁촌리 ,RC슬래브교(RCS),150,2,5,30,,
교가교(하),강원도 삼척시 근덕면 교가리 ,강박스거더교(STB),294,2,6,49,,
동막1교(하),강원도 삼척시 근덕면 동막리 ,PC빔교(PC I),240,2,8,30,,
신남2교(하),강원도 삼척시 원덕읍 갈남리 ,PC빔교(PC I),150,2,5,30,,
옥원교(상),강원도 삼척시 원덕읍 옥원리 ,강박스거더교(STB),180,2,4,45,,
도마천교,강원도 강릉시 왕산면 도마리 ,PC슬래브교(PCS),195,2,6,35,,
갈정교,강원도 평창군 용평면 장평리 ,변단면 PSC빔교,105,2,3,35,,
월정교,강원도 평창군 진부면 상진부리 ,PSC E-Beam,217,4,5,43.4,,
상맹방2교(속초),강원도 삼척시 근덕면 상맹방리 ,Spliced PSC Girder,150,2,3,54,,
지가철교(속초),강원도 동해시 지가동 ,강판형교(SPG),220,2,4,60,,
상맹방2교(삼척),강원도 삼척시 근덕면 상맹방리 ,Spliced PSC Girder,150,2,3,54,,
산성우1교(삼척),강원도 강릉시 강동면 산성우리 ,PC박스거더교(PCB),230,2,5,50,,
산성우4교(삼척),강원도 강릉시 강동면 산성우리 ,PC박스거더교(PCB),380,4,8,50,,
낙풍5교(삼척),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),143,5,3,55,,
도직2교(삼척),강원도 강릉시 옥계면 도직리 ,강박스거더교(STB),185,5,4,55,,
지가철교(삼척),강원도 동해시 지가동 ,강판형교(SPG),220,2,4,60,,
전포매교(속초),강원도 양양군 현남면 후포매리 ,DR GIRDER,140,2,3,50,,
해송천교(속초),강원도 양양군 현남면 정자리 ,PC박스거더교(PCB),470,4,10,50,,
석교2교(삼척),강원도 강릉시 사천면 석교리,강박스거더교(STB),150,2,3,60,,
연곡천교(속초),강원도 강릉시 연곡면 송림리,PC박스거더교(PCB),330,2,7,50,,
위촌2교(속초),강원도 강릉시 성산면 위촌리,PC박스거더교(PCB),380,3,8,50,,
전포매교(삼척),강원도 양양군 현남면 후포매리 ,DR GIRDER,140,2,3,50,,
해송천교(삼척),강원도 양양군 현남면 정자리 ,PC박스거더교(PCB),470,2,10,50,,
발한3교(삼척),강원도 동해시 발한동 ,PC빔교(PC I),120,2,4,30,,
초구교(속초),강원도 동해시 초구동 ,강박스거더교(STB),115,2,3,45,,
초구교(삼척),강원도 동해시 초구동 ,강박스거더교(STB),115,2,3,45,,
도직1교(삼척),강원도 강릉시 옥계면 도직리 ,PC빔교(PC I),150,4,5,30,,
낙풍3교(속초),강원도 강릉시 옥계면 낙풍리 ,PC빔교(PC I),150,4,5,30,,
낙풍3교(삼척),강원도 강릉시 옥계면 낙풍리 ,PC빔교(PC I),150,6,5,30,,
어단1교(속초),강원도 강릉시 구정면 어단리 ,PC빔교(PC I),120,2,4,30,,
어단1교(삼척),강원도 강릉시 구정면 어단리 ,PC빔교(PC I),120,2,4,30,,
어단4교(속초),강원도 강릉시 구정면 어단리 ,PC빔교(PC I),180,3,6,30,,
어단4교(삼척),강원도 강릉시 구정면 어단리 ,PC빔교(PC I),180,2,6,30,,
구정2교(속초),강원도 강릉시 구정면 구정리 ,PC빔교(PC I),120,4,4,30,,
구정2교(삼척),강원도 강릉시 구정면 구정리 ,PC빔교(PC I),120,4,4,30,,
발한2교(속초),강원도 동해시 발한동 ,PC빔교(PC I),210,2,7,30,,
낙풍천교(속초),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),120,6,3,40,,
발한2교(삼척),강원도 동해시 발한동 ,PC빔교(PC I),210,2,7,30,,
발한3교(속초),강원도 동해시 발한동 ,PC빔교(PC I),120,2,4,30,,
노동1교(속초),강원도 강릉시 사천면 노동리,PC빔교(PC I),240,4,8,30,,
노동1교(삼척),강원도 강릉시 사천면 노동리,PC빔교(PC I),240,4,8,30,,
위촌1교(삼척),강원도 강릉시 성산면 위촌리,PC빔교(PC I),240,3,8,30,,
지흥1교(속초),강원도 동해시 지흥동 ,PCT거더교(PCT),270,2,4,75,,
지흥1교(삼척),강원도 동해시 지흥동 ,PCT거더교(PCT),270,2,4,75,,
강릉JCT교,강원도 강릉시 성산면 위촌리,강박스거더교(STB),125,2,3,50,,
언별2교(삼척),강원도 강릉시 강동면 언별리 ,P.S.C BOX,280,2,6,50,,
북강릉IC1교,강원도 강릉시 사천면 석교리 ,강박스거더교(STB),180,2,4,50,,
언별2교(속초),강원도 강릉시 강동면 언별리 ,P.S.C BOX,330,2,7,50,,
연곡천교(삼척),강원도 강릉시 연곡면 송림리,PC박스거더교(PCB),330,2,7,50,,
송림2교(속초),강원도 강릉시 주문진읍 ,강박스거더교(STB),230,2,5,50,,
송림2교(삼척),강원도 강릉시 주문진읍 ,강박스거더교(STB),230,2,5,50,,
산성우4교(속초),강원도 강릉시 강동면 산성우리 ,PC박스거더교(PCB),380,4,8,50,,
강동1교(속초),강원도 강릉시 강동면 산성우리 ,PC박스거더교(PCB),550,2,5,130,,
강동1교(삼척),강원도 강릉시 강동면 산성우리 ,PC박스거더교(PCB),550,2,5,130,,
옥계IC2교,강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),50,1,1,50,,
오십천교(삼척),강원도 삼척시 원당동 ,강박스거더교(STB),670,2,11,70,,
북강릉IC2교,강원도 강릉시 사천면 ,강박스거더교(STB),50,2,1,50,,
강릉IC4교,강원도 강릉시 성산면 ,강박스거더교(STB),280,2,6,50,,
오십천교(속초),강원도 삼척시 원당동 ,강박스거더교(STB),670,2,11,70,,
강릉JCT1교,강원도 강릉시 성산면 ,강박스거더교(STB),50,2,1,50,,
주수천교(삼척),강원도 강릉시 옥계면 주수리 ,강박스거더교(STB),506,2,10,55,,
산성우7교(삼척),강원도 강릉시 강동면 산성우리 ,강박스거더교(STB),200,4,4,55,,
낙풍5교(속초),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),143,5,3,55,,
강동2교(속초),강원도 강릉시 강동면 언별리 ,PC박스거더교(PCB),530,2,11,50,,
광정천교(삼척),강원도 양양군 현북면 상광정리 ,PC박스거더교(PCB),580,2,12,50,,
광정천교(속초),강원도 양양군 현북면 상광정리 ,PC박스거더교(PCB),580,2,12,50,,
송암2교(삼척),강원도 강릉시 성산면 송암리,PC박스거더교(PCB),280,3,6,50,,
임곡1교(속초),강원도 강릉시 강동면 임곡리 ,강박스거더교(STB),50,2,1,50,,
임곡1교(삼척),강원도 강릉시 강동면 임곡리 ,강박스거더교(STB),50,2,1,50,,
성남교(삼척),강원도 삼척시 성남동 ,SCP,70,2,1,70,,
성남교(속초),강원도 삼척시 성남동 ,SCP,70,2,1,70,,
강동2교(삼척),강원도 강릉시 강동면 언별리 ,PC박스거더교(PCB),530,2,11,50,,
주수천교(속초),강원도 강릉시 옥계면 주수리 ,강박스거더교(STB),506,2,10,55,,
남대천대교(속초),강원도 강릉시 성산면 관음리 ,PC박스거더교(PCB),1040,4,14,110,,
남대천대교(삼척),강원도 강릉시 성산면 관음리 ,PC박스거더교(PCB),1040,4,14,110,,
옥계IC3교,강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),110,1,3,40,,
낙풍천교(삼척),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),120,4,3,40,,
장덕교(삼척),강원도 강릉시 주문진읍 장덕리,PC빔교(PC I),420,2,14,30,,
향호1교(속초),강원도 강릉시 주문진읍 향호리,PC빔교(PC I),150,2,5,30,,
향호1교(삼척),강원도 강릉시 주문진읍 향호리,PC빔교(PC I),150,2,5,30,,
노동2교(속초),강원도 강릉시 사천면 노동리,PC빔교(PC I),150,4,5,30,,
노동2교(삼척),강원도 강릉시 사천면 노동리,PC빔교(PC I),150,4,5,30,,
노동3교(속초),강원도 강릉시 사천면 노동리,PC빔교(PC I),210,4,7,30,,
노동3교(삼척),강원도 강릉시 사천면 노동리,PC빔교(PC I),210,4,7,30,,
사천교(속초),강원도 강릉시 사천면 노동리,PC박스거더교(PCB),630,4,12,50,,
사천교(삼척),강원도 강릉시 사천면 노동리,PC슬래브교(PCS),630,4,13,50,,
석교2교(속초),강원도 강릉시 사천면 석교리,강박스거더교(STB),150,2,3,60,,
전천교(속초),강원도 동해시 귀운동 ,PC박스거더교(PCB),685,2,13,55,,
전천교(삼척),강원도 동해시 귀운동 ,PC박스거더교(PCB),630,2,12,55,,
천곡교(속초),강원도 동해시 천곡동 ,PC슬래브교(PCS),210,3,7,30,,
임곡천교(속초),강원도 강릉시 강동면 임곡리 ,강 I 빔교(ST I),170,2,4,45,,
임곡천교(삼척),강원도 강릉시 강동면 임곡리 ,강 I 빔교(ST I),215,2,5,45,,
낙풍4교(속초),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),160,3,4,45,,
향호2교(속초),강원도 강릉시 주문진읍 향호리,PC빔교(PC I),180,2,6,30,,
향호2교(삼척),강원도 강릉시 주문진읍 향호리,PC빔교(PC I),180,2,6,30,,
향호4교(속초),강원도 양양군 현남면 지리,PC빔교(PC I),300,3,10,30,,
향호4교(삼척),강원도 양양군 현남면 지리,PC빔교(PC I),300,3,10,30,,
위촌2교(삼척),강원도 강릉시 성산면 위촌리,PC박스거더교(PCB),380,3,8,50,,
강릉JCT2교,강원도 강릉시 성산면 송암리,PC박스거더교(PCB),330,2,7,50,,
송암2교(속초),강원도 강릉시 성산면 송암리,PC박스거더교(PCB),280,3,6,50,,
낙풍2교(속초),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),100,2,2,50,,
낙풍2교(삼척),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),100,3,2,50,,
제비1교(속초),강원도 강릉시 구정면 제비리 ,P.S.C Beam,175,2,5,35,,
산성우1교(속초),강원도 강릉시 강동면 산성우리 ,PC박스거더교(PCB),230,2,5,49.9,,
산성우2교(삼척),강원도 강릉시 강동면 산성우리 ,PC빔교(PC I),150,2,5,30,,
산성우2교(속초),강원도 강릉시 강동면 산성우리 ,PC빔교(PC I),150,2,5,30,,
산성우3교(삼척),강원도 강릉시 강동면 산성우리 ,PC빔교(PC I),150,2,5,30,,
산성우3교(속초),강원도 강릉시 강동면 산성우리 ,PC빔교(PC I),150,2,5,30,,
도직1교(속초),강원도 강릉시 옥계면 도직리 ,PC빔교(PC I),150,4,5,30,,
낙풍4교(삼척),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),165,5,4,45,,
낙풍1교(삼척),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),290,5,5,50,,
산성우6교(속초),강원도 강릉시 강동면 산성우리 ,P.S.C BOX,430,4,9,50,,
산성우6교(삼척),강원도 강릉시 강동면 산성우리 ,P.S.C BOX,400,4,8,50,,
도직2교(속초),강원도 강릉시 옥계면 도직리 ,강박스거더교(STB),185,4,4,55,,
산성우7교(속초),강원도 강릉시 강동면 산성우리 ,강박스거더교(STB),255,4,5,55,,
낙풍1교(속초),강원도 강릉시 옥계면 낙풍리 ,강박스거더교(STB),275,5,6,60,,
산성우5교(속초),강원도 강릉시 강동면 산성우리 ,강박스거더교(STB),145,4,3,55,,
산성우5교(삼척),강원도 강릉시 강동면 산성우리 ,강박스거더교(STB),145,4,3,55,,
잔교교(삼척),강원도 양양군 현북면 잔교리 ,PC빔교(PC I),350,2,10,35,,
잔교교(속초),강원도 양양군 현북면 잔교리 ,PC슬래브교(PCS),350,2,10,35,,
견불교(삼척),강원도 양양군 현남면 견불리 ,PC빔교(PC I),210,2,6,35,,
인구교(삼척),강원도 양양군 현남면 인구1리 ,PC빔교(PC I),350,4,10,35,,
적노교(삼척),강원도 삼척시 적노동 ,PC빔교(PC I),420.8,2,12,35.1,,
위촌1교(속초),강원도 강릉시 성산면 위촌리,PC빔교(PC I),240,3,8,30,,
쇄운교(삼척),강원도 동해시 쇄운동 ,PC빔교(PC I),105.2,2,3,35,,
지흥2교(속초),강원도 동해시 지흥동 ,PC빔교(PC I),240.5,3,8,30,,
화상천교(삼척),강원도 양양군 현남면 원포리 ,PC빔교(PC I),245,2,7,35,,
강릉IC5교,강원도 강릉시 성산면 ,강박스거더교(STB),197.6,1,4,49.4,,
강릉IC6교,강원도 강릉시 성산면 ,강박스거더교(STB),240,1,5,50,,
제비1교(삼척),강원도 강릉시 구정면 제비리 ,P.S.C Beam,175,2,5,35,,
제비2교(속초),강원도 강릉시 구정면 제비리 ,P.S.C Beam,180,2,6,30,,
제비2교(삼척),강원도 강릉시 구정면 제비리 ,P.S.C Beam,180,2,6,30,,
관음교(속초),강원도 강릉시 성산면 관음리 ,P.S.C Beam,180,2,6,30,,
관음교(삼척),강원도 강릉시 성산면 관음리 ,P.S.C Beam,180,4,6,30,,
귀운교(삼척),강원도 동해시 귀운동 ,PC빔교(PC I),105,2,3,35,,
쇄운교(속초),강원도 동해시 쇄운동 ,PC빔교(PC I),105.2,2,3,35,,
상맹방1교(속초),강원도 삼척시 근덕면 상맹방리 ,PC빔교(PC I),140,3,4,35,,
장덕교(속초),강원도 강릉시 주문진읍 장덕리,PC빔교(PC I),420,2,14,30,,
천곡교(삼척),강원도 동해시 천곡동 ,PC슬래브교(PCS),210,3,7,30,,
부곡2교(속초),강원도 동해시 부곡동 ,PC빔교(PC I),210,4,7,30,,
부곡2교(삼척),강원도 동해시 부곡동 ,PC빔교(PC I),210,4,7,30,,
발한1교(속초),강원도 동해시 발한동 ,강박스거더교(STB),345,4,11,45,,
발한1교(삼척),강원도 동해시 발한동 ,강박스거더교(STB),345,4,11,45,,
귀운교(속초),강원도 동해시 귀운동 ,PC빔교(PC I),105,2,3,35,,
상맹방1교(삼척),강원도 삼척시 근덕면 상맹방리 ,PC빔교(PC I),140,2,4,35,,
지흥2교(삼척),강원도 동해시 지흥동 ,PC빔교(PC I),240,2,8,30,,
화상천교(속초),강원도 양양군 현남면 원포리 ,PC빔교(PC I),245,4,7,35,,
견불교(속초),강원도 양양군 현남면 견불리 ,PC빔교(PC I),210,5,6,35,,
인구교(속초),강원도 양양군 현남면 인구1리 ,PC빔교(PC I),350,4,10,35,,
적노교(속초),강원도 삼척시 적노동 ,PC빔교(PC I),422.6,2,12,35.2,,
삼척IC교(삼척),강원도 삼척시 평전동 ,PC빔교(PC I),200,2,5,40,,
삼척IC교(속초),강원도 삼척시 평전동 ,PC빔교(PC I),200,3,5,40,,
수가육교,부산광역시 강서구 범방동 1549-2,트러스교(TR),80,2,1,80,,
둔치2호교,부산광역시 강서구 생곡동 15-12,강박스거더교(STB),300,4,6,54,,
도울교,부산광역시 강서구 대저2동 623-22,강박스형교(STB),50.8,2,1,50,,
제3농로육교,부산광역시 강서구 대저2동 3582-5번지,강박스거더교(STB),50,2,1,50,,
제1농로육교,부산광역시 강서구 대저2동 2969-8번지,강박스거더교(STB),60,2,1,60,,
제2농로육교,부산광역시 강서구 대저2동 2969-13번지,강박스거더교(STB),50,2,1,50,,
천가교,부산광역시 강서구 성북동 5-4,강판형교(SPG),160.2,0,13,12.6,,
가리봉철도고가차도,서울특별시 구로구 가리봉동 515,PC빔교(PC I),240,4,9,25,,
구로공단 I.C,서울특별시 구로구 남부순환로 1082-72,프리플렉스빔교(PF),415.7,4,18,33.5,,
서울교,서울특별시 영등포구 여의도동 19,P.S.C Beam,236,12,8,30,,
영등포로타리 I.C,서울특별시 영등포구 영등포동 92-2,프리플렉스빔교(PF),218,4,8,29,,
개봉철도고가차도,서울특별시 구로구 개봉동 235,PC빔교(PC I),148,5,6,25,,
고척교,서울특별시 구로구 안양천로537길 56 (고척동),프리플렉스빔교(PF),203,10,11,38,,
목동교,서울특별시 양천구 목동 409,PC빔교(PC I),240,10,9,30,,
오금교,서울특별시 양천구 목동로 152-1,강박스거더교(STB),203,10,6,45,,
오목교,서울특별시 양천구 오목로 409,PC빔교(PC I),203,8,13,39.8,,
개봉고가차도,서울특별시 구로구 개봉동 353,PC빔교(PC I),336,4,15,33.5,,
여의2교,서울특별시 영등포구 국회대로62길  KBS방송기술연구소,프리플렉스빔교(PF),220,10,5,44,,
합수교,경상남도 거창군 거창읍 대동리,라멘교(RA),133,2,7,19,,
의동교,경상남도 거창군 거창읍 학리,라멘교(RA),106.8,2,9,12.1,,
위천교,경상남도 거창군 위천면 장기리,라멘교(RA),100,2,5,20,,
양항교,경상남도 거창군 거창읍 대평리 ,라멘교(RA),171,2,11,15.8,,
선교교(상),광주광역시 동구 선교동 ,강박스거더교(STB),200,2,4,55,,
유촌3교(하행),광주광역시 서구 유촌동 ,강판형교(SPG),355,4,7,55,,
우산본선교,광주광역시 광산구 선암동 193-10,강박스거더교(STB),340,8,7,50,,
우산RAMP-A교,광주광역시 광산구 선암동 193-10,강박스거더교(STB),240,1,5,50,,
우산RAMP-B교,광주광역시 광산구 선암동 193-10,강박스거더교(STB),240,1,5,50,,
무진교(평동방향),광주광역시 서구 유촌동 ,STEEL BOX GIRDER,250,3,5,50,,
무진교(터미널방향),광주광역시 서구 유촌동 ,STEEL BOX GIRDER,285,3,6,50,,
선교교(하),광주광역시 동구 선교동 ,강박스거더교(STB),200,2,4,55,,
제2광천교,광주광역시 서구 광천동 ,P.S.C Beam,190,8,8,25,,
지야대교,광주광역시 북구 지야동 771-18,PSC박스거더+강재아치,416,6,6,120,,
버들교,광주광역시 서구 유촌동 ,강박스거더교(STB),120,6,3,50,,
유촌3교(상행),광주광역시 서구 유촌동 ,강판형교(SPG),300,4,6,55,,
평동1교,광주광역시 광산구 용곡동 ,강박스거더교(STB),100,4,2,50,,
내남교(하),광주광역시 동구 내남동 ,강박스거더교(STB),255,2,5,55,,
비아육교(하),광주광역시 광산구 비아동 ,STEEL BOX 합성형교,140,2,3,50,,
대촌육교,광주광역시 남구 양과동 ,강박스거더교(STB),110,8,2,60,,
내남교(상),광주광역시 동구 내남동 ,강박스거더교(STB),255,2,5,55,,
비아육교,광주광역시 광산구 비아동 ,강박스거더교(STB),145,2,3,50,,
동천교,광주광역시 북구 운암동 1234번지,P.S 강재,130,5,4,35,,
평림교,광주광역시 광산구 지평동 ,PSC BEAM,180,4,6,30,,
천변구조물17교,광주광역시 서구 광천동 광천1교~광천철교,RC슬래브교(RCS),303,3,8,40,,
천변구조물18교,광주광역시 서구 광천동 ,RC슬래브교(RCS),280,3,7,40,,
천변구조물19교,광주광역시 서구 광천동 광운교~광천2교,RC슬래브교(RCS),292,3,7,42,,
요기교,광주광역시 광산구 요기동 ,강박스거더교(STB),200,4,4,55,,
운남대교,광주광역시 광산구 운남동 ,사장교(CS),445,6,4,152.5,,
우석교,광주광역시 북구 동림동 ,강박스거더교(STB),160,8,3,55,,
Ramp-H교,"전라남도 장성군 남면 삼태로 35, 남면 삼태리 산 160-2",강박스거더교(STB),55,1,1,55,,
Ramp-I교,"전라남도 장성군 남면 동태길 65-10, 남면 삼태리 152-85",강박스거더교(STB),55,1,1,55,,
운암교,광주광역시 북구 운암동 235-5번지,강박스거더교(STB),124,4,3,58,,
발산교,광주광역시 광산구 오선동 ,강박스거더교(STB),175,6,3,65,,
신기교,광주광역시 남구 행암동 685,scp 거더교,51,6,1,51,,
대동교,광주광역시 남구 행암동 683,STEEL BOX GIRDER,55,6,1,55,,
어등대교,광주광역시 광산구 우산동 536-1,사장교(CS),460.3,10,6,105,,
문화대교,광주광역시 북구 각화동 88-1번지,사장교(CS),270.4,6,3,115,,
문흥교,광주광역시 북구 문흥동 ,강박스거더교(STB),110.1,7,2,55.1,,
각화1교,광주광역시 북구 각화동 48-5번지,V각 PSC박스거더교,200.2,6,3,84,,
